id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lyoung_abs__Lsol,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qpah,qpah_err,gamma,gamma_err,red_chi2
ESO405-014,6.770E-02,1.362E-02,5.240E+08,2.173E+08,1.055E+09,9.794E+07,7.889E+08,1.204E+08,2.661E+08,5.353E+07,7.596E+07,1.560E+08,0.127,0.133,0.026,0.031,6.014E+05,2.022E+06,5.558E+07,6.458E+07,9.584,14.635,26.671,6.788,3.583,2.186,0.083,0.142,2.315
ESO406-031,2.389E-02,1.141E-02,3.122E+09,7.937E+08,2.030E+09,1.015E+08,1.936E+09,1.012E+08,9.391E+07,4.485E+07,1.564E+08,4.724E+07,0.835,0.235,0.187,0.050,2.936E+06,1.679E+06,2.413E+08,5.162E+07,0.729,0.944,17.360,3.747,5.318,1.438,0.009,0.014,0.231
ESO407-002,9.327E-02,5.588E-02,3.855E+09,1.426E+09,4.623E+09,2.312E+08,4.257E+09,3.733E+08,3.666E+08,2.196E+08,7.983E+08,4.140E+08,1.526,0.301,0.356,0.062,4.258E+06,8.895E+05,1.156E+09,8.665E+07,1.753,0.428,20.094,0.817,5.094,0.984,0.006,0.005,0.228
ESO407-018,1.297E-03,4.061E-04,2.534E+07,6.937E+06,4.819E+07,2.631E+06,4.310E+07,4.155E+06,5.098E+06,1.596E+06,7.328E+05,5.163E+05,0.054,0.041,0.011,0.009,2.969E+03,5.991E+03,7.088E+05,5.513E+05,10.441,14.504,27.055,6.264,3.732,2.150,0.046,0.105,0.739
ESO410-005,2.297E-04,2.532E-04,2.119E+06,7.723E+05,5.723E+06,9.655E+05,4.820E+06,1.168E+06,9.027E+05,9.952E+05,1.892E+06,2.006E+06,0.871,0.720,0.170,0.139,1.717E+03,2.615E+03,1.292E+06,1.260E+06,13.006,14.837,28.064,5.336,3.976,2.034,0.046,0.109,1.807
ESO410-012,2.686E-02,3.974E-03,1.441E+08,4.699E+07,3.367E+08,1.988E+07,2.311E+08,1.952E+07,1.056E+08,1.562E+07,1.330E+07,5.937E+07,0.119,0.122,0.025,0.028,1.667E+05,4.903E+05,1.898E+07,2.066E+07,10.070,14.928,26.892,6.644,3.198,2.181,0.082,0.141,0.440
ESO410-018,1.705E-01,1.222E-02,6.534E+08,2.158E+08,1.907E+09,9.533E+07,1.236E+09,1.026E+08,6.702E+08,4.801E+07,1.045E+08,1.727E+08,0.265,0.050,0.056,0.020,4.878E+06,2.170E+06,2.367E+08,4.100E+07,0.340,0.229,15.288,1.716,3.455,1.676,0.020,0.018,1.110
ESO411-013,3.609E-02,1.640E-02,8.312E+08,2.935E+08,1.348E+09,9.352E+07,1.206E+09,1.482E+08,1.418E+08,6.446E+07,5.433E+07,3.648E+07,0.191,0.110,0.039,0.024,1.108E+06,1.222E+06,6.605E+07,3.791E+07,3.868,9.730,22.928,9.612,3.595,2.125,0.056,0.108,6.101
ESO411-016,8.701E-02,1.154E-02,5.679E+08,2.347E+08,1.114E+09,8.852E+07,7.725E+08,1.053E+08,3.420E+08,4.535E+07,8.175E+07,1.455E+08,0.367,0.134,0.079,0.038,9.640E+05,1.056E+06,1.666E+08,6.329E+07,3.846,6.512,22.906,6.464,1.858,1.452,0.003,0.013,0.912
ESO411-026,2.771E-02,9.070E-03,2.150E+08,9.494E+07,4.604E+08,6.579E+07,3.515E+08,6.729E+07,1.089E+08,3.564E+07,9.365E+07,8.921E+07,0.220,0.246,0.046,0.057,3.188E+05,5.392E+05,4.033E+07,5.038E+07,6.842,11.928,25.215,7.326,2.593,2.122,0.035,0.094,1.018
ESO411-027,3.797E-02,8.251E-03,1.547E+08,1.107E+08,4.236E+08,8.206E+07,2.744E+08,9.146E+07,1.492E+08,3.243E+07,2.374E+07,4.282E+07,0.236,0.205,0.053,0.052,4.998E+05,8.082E+05,4.885E+07,4.653E+07,6.875,12.568,25.235,7.688,3.671,2.155,0.066,0.126,0.253
ESO428-014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ESO434-040,6.253E-02,1.479E-01,9.341E+10,2.508E+10,3.716E+10,1.858E+09,3.691E+10,1.846E+09,2.458E+08,5.812E+08,2.238E+10,1.756E+01,7.088,1.156,2.684,0.480,4.548E+05,2.862E+04,2.218E+10,1.196E+09,49.900,2.495,35.113,0.293,1.329,0.539,0.500,0.025,3.405
ESO471-006,1.203E-02,7.672E-04,3.948E+07,1.687E+07,1.289E+08,1.082E+07,8.164E+07,1.341E+07,4.726E+07,3.015E+06,4.683E+05,2.037E+06,0.013,0.025,0.003,0.006,1.178E+04,3.648E+04,9.182E+05,1.775E+06,8.184,13.503,25.978,7.144,3.577,2.189,0.070,0.135,0.910
ESO491-020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ESO491-021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ESO493-016,1.157E+01,4.587E+00,1.042E+10,5.092E+09,8.910E+10,2.662E+10,4.364E+10,8.753E+09,4.546E+10,1.803E+10,9.134E+09,1.962E+10,1.024,1.056,0.241,0.242,4.802E+07,6.105E+06,2.876E+10,1.438E+09,3.436,0.359,22.480,0.392,2.548,0.572,0.015,0.003,0.254
ESO495-021,1.201E+00,2.790E-01,7.830E+08,3.241E+08,8.915E+09,1.648E+09,4.195E+09,5.701E+08,4.721E+09,1.096E+09,8.173E+08,3.639E+09,1.470,0.890,0.346,0.207,1.660E+06,8.301E+04,4.439E+09,2.220E+08,9.963,0.498,26.844,0.224,1.152,0.157,0.064,0.006,1.693
ESO549-035,1.975E-01,2.946E-02,1.269E+09,4.345E+08,2.814E+09,1.486E+08,2.038E+09,2.151E+08,7.763E+08,1.158E+08,1.054E+08,3.500E+08,0.303,0.104,0.060,0.027,5.918E+06,3.313E+06,3.338E+08,1.203E+08,0.537,0.614,16.500,3.141,1.917,1.418,0.004,0.007,0.510
ESO560-004,6.754E+00,8.673E+00,3.775E+10,1.620E+10,8.358E+10,5.049E+10,5.703E+10,1.700E+10,2.654E+10,3.409E+10,5.793E+09,1.306E+10,1.922,1.785,0.453,0.427,3.195E+07,5.002E+06,1.919E+10,1.136E+09,3.885,0.937,22.945,0.922,2.892,0.667,0.007,0.003,0.139
ESO603-031,2.340E-01,3.289E-02,3.185E+09,9.276E+08,4.306E+09,2.153E+08,3.386E+09,2.990E+08,9.195E+08,1.293E+08,1.848E+08,2.683E+08,0.346,0.090,0.071,0.027,1.046E+07,5.616E+06,4.753E+08,1.187E+08,0.474,1.699,16.160,9.652,4.473,1.898,0.024,0.029,0.951
HS98117,4.089E-05,7.459E-05,8.608E+07,1.647E+07,3.484E+07,1.742E+06,3.468E+07,1.734E+06,1.607E+05,2.932E+05,1.333E+06,1.570E+05,0.096,0.139,0.022,0.031,1.732E+03,4.584E+03,3.524E+05,4.689E+05,10.942,15.230,27.267,6.325,3.594,2.185,0.071,0.133,1.062
IC0010,3.150E-01,2.266E-01,5.172E+08,2.615E+08,2.688E+09,1.314E+09,1.450E+09,4.297E+08,1.238E+09,8.905E+08,4.836E+07,1.569E+08,0.365,0.533,0.075,0.110,2.810E+05,2.045E+05,2.028E+08,2.313E+07,7.977,9.252,25.868,5.000,1.419,1.152,0.015,0.009,0.820
IC0335,4.216E-03,2.860E-03,1.720E+10,3.439E+09,7.896E+09,3.948E+08,7.879E+09,3.940E+08,1.657E+07,1.124E+07,1.303E+08,1.748E+07,0.097,0.068,0.020,0.012,3.442E+05,5.828E+05,7.416E+07,4.272E+07,9.559,13.849,26.660,6.437,4.053,2.090,0.036,0.090,0.153
IC0342,4.028E+00,2.646E-01,2.075E+10,4.123E+09,4.442E+10,2.221E+09,2.859E+10,1.532E+09,1.583E+10,1.040E+09,7.965E+09,1.071E+10,1.182,0.059,0.391,0.051,5.393E+07,6.201E+06,1.835E+10,9.173E+08,2.067,0.345,20.654,0.574,4.563,0.777,0.009,0.004,1.888
IC0610,2.170E-01,1.718E-01,1.483E+10,3.587E+09,1.327E+10,6.636E+08,1.242E+10,6.209E+08,8.529E+08,6.751E+08,5.002E+09,6.795E+08,3.890,0.785,1.001,0.114,1.693E+07,1.874E+06,5.632E+09,3.813E+08,2.150,0.459,20.791,0.739,2.968,0.560,0.006,0.003,0.195
IC0691,8.912E-01,9.044E-02,3.204E+09,9.417E+08,8.768E+09,4.384E+08,5.265E+09,2.633E+08,3.502E+09,3.555E+08,2.842E+09,3.473E+09,2.603,0.130,0.914,0.046,2.570E+06,6.974E+05,5.694E+09,3.831E+08,10.489,4.796,27.076,2.063,1.854,0.289,0.051,0.015,0.923
IC0755,2.349E-01,1.934E-02,8.940E+08,2.424E+08,2.611E+09,1.306E+08,1.688E+09,8.438E+07,9.233E+08,7.602E+07,1.311E+08,5.220E+08,0.651,0.091,0.133,0.041,1.844E+06,5.497E+05,6.723E+08,8.775E+07,2.341,1.056,21.087,1.586,1.427,0.664,0.014,0.006,0.391
IC0781,5.617E-04,2.609E-04,1.413E+09,7.821E+07,1.121E+09,5.605E+07,1.119E+09,5.594E+07,2.208E+06,1.025E+06,2.110E+07,8.422E+05,0.125,0.104,0.029,0.021,2.108E+05,3.461E+05,1.696E+07,1.271E+07,7.056,13.019,25.344,7.794,4.009,2.154,0.087,0.142,0.900
IC0782,1.211E-02,1.078E-02,1.722E+10,2.644E+09,9.133E+09,4.566E+08,9.085E+09,4.543E+08,4.759E+07,4.237E+07,6.136E+08,1.433E+07,0.146,0.154,0.031,0.031,3.804E+05,7.998E+05,1.461E+08,1.483E+08,12.280,15.906,27.796,6.001,3.787,2.179,0.097,0.151,0.432
IC0783,1.556E-03,9.153E-04,2.421E+09,1.557E+08,1.915E+09,9.577E+07,1.909E+09,9.547E+07,6.114E+06,3.597E+06,5.343E+07,5.741E+06,0.225,0.128,0.051,0.024,1.593E+06,1.231E+06,5.135E+07,2.379E+07,1.431,5.580,19.426,12.626,4.646,1.899,0.015,0.052,1.440
IC0794,3.699E-03,2.497E-03,6.527E+09,1.081E+09,3.651E+09,1.825E+08,3.636E+09,1.818E+08,1.454E+07,9.813E+06,1.475E+08,2.906E+07,0.092,0.108,0.019,0.021,2.669E+05,5.595E+05,3.641E+07,4.032E+07,9.439,14.341,26.604,6.737,2.861,2.137,0.052,0.114,0.412
IC0797,4.087E-01,4.386E-02,2.655E+09,3.469E+08,6.848E+09,3.424E+08,5.242E+09,2.621E+08,1.606E+09,1.724E+08,8.283E+08,1.194E+09,1.120,0.094,0.203,0.040,6.968E+06,1.088E+06,1.983E+09,9.913E+07,1.891,0.277,20.349,0.496,3.709,0.424,0.004,0.002,0.512
IC0800,9.304E-02,8.905E-03,1.388E+09,2.507E+08,2.035E+09,1.018E+08,1.670E+09,8.348E+07,3.657E+08,3.500E+07,1.587E+08,2.256E+08,0.796,0.076,0.137,0.034,1.296E+06,3.017E+05,3.837E+08,2.467E+07,1.868,0.500,20.309,0.906,4.595,0.679,0.010,0.004,0.891
